country_name,place_name,expected_budget_in_INR,actual_budget_in_INR,description_of_tourism_place
France,Eiffel Tower,30000,35000,"The iconic Eiffel Tower is a must-see landmark in Paris."
France,Louvre Museum,15000,18000,"Home to thousands of works of art, including the Mona Lisa."
France,Versailles Palace,25000,27000,"A grand palace with opulent interiors and magnificent gardens."
France,Mont Saint-Michel,20000,22000,"A stunning island commune known for its medieval architecture."
France,Notre-Dame Cathedral,12000,15000,"A masterpiece of Gothic architecture located in Paris."
France,Arc de Triomphe,10000,12000,"An iconic monument honoring those who fought and died during the French Revolution."
France,Disneyland Paris,35000,40000,"A magical theme park located just outside Paris, perfect for families."
France,The French Riviera,45000,50000,"A glamorous coastline with beaches, resorts, and charming towns."
France,Sainte-Chapelle,10000,12000,"A Gothic chapel famous for its stunning stained glass windows."
France,Château de Chambord,20000,22000,"A Renaissance castle located in the Loire Valley."
France,Pont du Gard,15000,17000,"A well-preserved Roman aqueduct bridge located in southern France."
France,Les Champs-Élysées,20000,22000,"One of the most famous avenues in the world, lined with theaters and shops."

Japan,Tokyo Tower,25000,27000,"A symbol of Tokyo, offering great views of the city from its observation deck."
Japan,Kyoto's Kinkaku-ji,18000,20000,"The Golden Pavilion is a Zen Buddhist temple covered in gold leaf."
Japan,Fushimi Inari Shrine,15000,18000,"A famous shrine known for its thousands of red torii gates."
Japan,Mount Fuji,35000,40000,"Japan's highest mountain, perfect for climbing and sightseeing."
Japan,Osaka Castle,25000,27000,"A historical castle with beautiful gardens and a museum."
Japan,Shibuya Crossing,10000,12000,"The busiest pedestrian crossing in the world, located in Tokyo."
Japan,Hiroshima Peace Memorial,12000,15000,"A somber yet significant historical site dedicated to peace."
Japan,Disneyland Tokyo,35000,40000,"A world-famous theme park with iconic Disney characters."
Japan,Shinjuku Gyoen National Garden,15000,18000,"A beautiful park in the heart of Tokyo, perfect for a peaceful stroll."
Japan,Meiji Shrine,10000,12000,"A Shinto shrine dedicated to Emperor Meiji and Empress Shoken."
Japan,Akihabara,20000,22000,"Known for its electronics shops, gaming centers, and anime culture."
Japan,Odaiba,30000,35000,"A futuristic island with shopping malls, museums, and an artificial beach."

Italy,Colosseum,25000,27000,"The largest amphitheater ever built, hosting ancient gladiator games."
Italy,Pantheon,12000,14000,"A well-preserved Roman temple with a stunning domed roof."
Italy,Leaning Tower of Pisa,15000,18000,"A famous leaning tower located in the city of Pisa."
Italy,Venice Grand Canal,30000,35000,"A network of canals with gondola rides and stunning architecture."
Italy,Vatican Museums,20000,22000,"A group of art museums in Vatican City housing Renaissance art."
Italy,Florence Cathedral,20000,22000,"A beautiful cathedral known for its distinctive dome designed by Brunelleschi."
Italy,Capri Island,30000,35000,"An island known for its rugged coastline and upscale shopping."
Italy,The Roman Forum,15000,17000,"An ancient center of political life in Rome, with ruins of temples and buildings."
Italy,Amalfi Coast,45000,50000,"A scenic coastline famous for its cliffs, beaches, and small towns."
Italy,Cinque Terre,25000,27000,"A picturesque area with five charming villages along the Italian Riviera."
Italy,Mount Etna,20000,22000,"A volcano located on the east coast of Sicily, offering tours and hikes."
Italy,Piazza del Duomo,12000,14000,"A famous square in Milan, home to the iconic Cathedral of Milan."

Thailand,Bangkok Grand Palace,15000,18000,"A stunning complex of buildings, including the Emerald Buddha Temple."
Thailand,Wat Arun,10000,12000,"A Buddhist temple known for its impressive spire."
Thailand,Chiang Mai Old City,12000,14000,"A charming area with ancient temples, markets, and traditional buildings."
Thailand,Phuket Beaches,25000,27000,"A tropical paradise with beautiful sandy beaches and clear water."
Thailand,Ayutthaya Historical Park,20000,22000,"A UNESCO World Heritage site with impressive ruins of temples and palaces."
Thailand,Pattaya Beach,15000,18000,"A popular beach destination known for its nightlife and water activities."
Thailand,Sukhothai Historical Park,15000,17000,"The historical ruins of the ancient Sukhothai Kingdom."
Thailand,Similan Islands,35000,40000,"A group of islands offering excellent diving and snorkeling."
Thailand,Khao Sok National Park,20000,22000,"A park with dense jungles, wildlife, and pristine lakes."
Thailand,Wat Phra That Doi Suthep,15000,17000,"A sacred temple located on a mountain with breathtaking views."
Thailand,Chatuchak Weekend Market,10000,12000,"A massive outdoor market with everything from food to clothes."
Thailand,Siam Ocean World,25000,27000,"An aquarium located in the heart of Bangkok."

Australia,Sydney Opera House,35000,40000,"A world-renowned performing arts venue located in Sydney."
Australia,Great Barrier Reef,50000,55000,"The world's largest coral reef system, ideal for diving and marine life exploration."
Australia,Uluru,35000,40000,"A massive sandstone monolith in the desert, sacred to the indigenous Anangu people."
Australia,Blue Mountains,20000,22000,"A beautiful national park with canyons, waterfalls, and walking trails."
Australia,Great Ocean Road,45000,50000,"A scenic coastal drive with cliffs, beaches, and the Twelve Apostles rock formation."
Australia,Melbourne Laneways,15000,17000,"Famous narrow streets filled with street art, cafes, and boutiques."
Australia,Tasmania Wilderness,35000,40000,"A remote area with pristine landscapes, ideal for outdoor adventures."
Australia,Whitsunday Islands,50000,55000,"A collection of islands near the Great Barrier Reef, perfect for sailing and relaxation."
Australia,Fraser Island,40000,45000,"The world's largest sand island with rainforests and freshwater lakes."
Australia,Cairns,20000,22000,"A gateway to the Great Barrier Reef and tropical rainforests."
Australia,Barossa Valley,25000,27000,"A renowned wine region with vineyards and charming wineries."
Australia,Rottnest Island,25000,27000,"An island known for its beautiful beaches and the quokka, a small marsupial."

USA,Grand Canyon,50000,55000,"One of the Seven Natural Wonders of the World with breathtaking views."
USA,Statue of Liberty,25000,27000,"A symbol of freedom, located on Liberty Island in New York City."
USA,Yosemite National Park,40000,45000,"A massive national park known for its towering cliffs and giant sequoias."
USA,Yellowstone National Park,45000,50000,"The first national park in the world, famous for its geothermal features."
USA,Times Square,20000,22000,"The iconic square in the heart of Manhattan, known for bright lights and Broadway shows."
USA,Niagara Falls,35000,40000,"A spectacular natural waterfall located on the border of New York and Canada."
USA,Hollywood Walk of Fame,15000,18000,"A sidewalk with over 2,600 brass stars honoring celebrities."
USA,Las Vegas Strip,30000,35000,"The world's entertainment capital with casinos, theaters, and luxury resorts."
USA,Yellowstone Old Faithful,25000,27000,"A famous geyser in Yellowstone that erupts regularly."
USA,Disneyland California,40000,45000,"A magical theme park in Anaheim, home to iconic Disney characters."
USA,San Francisco Golden Gate Bridge,20000,22000,"A stunning suspension bridge offering views of the bay."
USA,Washington D.C. National Mall,15000,18000,"A national park featuring monuments, museums, and the U.S. Capitol."
